id, owner, vaultDebt, vaultCollateral 
23, 0xCdD402E52AC33A54f60415C38CaD2Db6DEBe01a5, 805.1265997338319, 1.0836952711383043
24, 0x2bDAB32Fc7285EA127cd72046D7A0f9C5bF0dcBC, 49999.99975085491, 55.30478262901068
25, 0xCdD402E52AC33A54f60415C38CaD2Db6DEBe01a5, 316.9055551817134, 0.43645117440780185
26, 0xCdD402E52AC33A54f60415C38CaD2Db6DEBe01a5, 124.16533807532302, 0.17215308668697324
27, 0x4a7841596d8f8b4c5db9757455b41CFB11BE0750, 1650.0004209885174, 2.538911079950257
28, 0xF0773108b4EbD43513c0e82e1ECC26EfEdd937F1, 0, 0
29, 0xF0773108b4EbD43513c0e82e1ECC26EfEdd937F1, 0, 0
30, 0xBC2A0913B30283C2c680Cfc332C8D85399228E23, 246696.08980270653, 373.0216080190799
31, 0xc9D8679818D2d27d236c2A9a7704cc11C6E83DA4, 180, 0.8097854788044591
32, 0x851322D2Cb6629958901dE549fE333A230759CA9, 0, 0
33, 0x1B3F7964929Dae299F194D46B7386b0dF8F10DB3, 0, 0
34, 0x1B3F7964929Dae299F194D46B7386b0dF8F10DB3, 0, 0
35, 0xD3425091b74bd097f6d8f194D30229140F814F14, 344.8689850229734, 0.5116792097926439
36, 0x4776FD2e8340D5bc7AEfE197d83A6Af2d258E8A6, 0, 0
37, 0x4776FD2e8340D5bc7AEfE197d83A6Af2d258E8A6, 0, 0
38, 0x4776FD2e8340D5bc7AEfE197d83A6Af2d258E8A6, 0, 0
39, 0xC4a70149330858Cd0F085E4cd81c10745c9130B1, 8400, 12.995548424135697
40, 0x650C0Ed459d82335AfdaD70794b9a61b7795AA6A, 6528.146057301114, 8
41, 0x7d2D6D315B3e286017D9A7EE2EC58a9d07E07847, 4500, 7.0071906418507055
42, 0x69344717556C64DC49A2Ba36267A04efAcF34d27, 335.9201174010048, 0.43689701119351615
43, 0x15Ee3B2F09b83Aaf65E3E2550B96c46826335004, 0, 0
44, 0xfcd58CFFFFbdE2Db16F9cFFC0ca653f3310318E1, 49999.99999999999, 88.53430445917219
45, 0x83a76D3D563A57B3Ee7689232C3789e64BA71772, 45, 0.07232028064969079
46, 0x8Bcf10D5bD8a0FF835221dD2a9C794B435c52813, 5997.339676580985, 12.682216147195103
47, 0x58B40f3aa522c35eB1770a5485a51Ef4b9c72C0c, 500, 0.7087312224442276
48, 0xdb9d281C3D29bAa9587f5dAC99DD982156913913, 1774999.9999999998, 3543.9984761175992
49, 0x648a4F387547B11D1bB01B6642001A213f5a79F6, 11000.793120722958, 23.271469210340182
50, 0x3c214E0F00aFe1068e1AAa3A664D0b91Ac063915, 1352.2572362017247, 2.7080671354544963
51, 0xE395f0243Ae29C41C865971D9e5603c16c0065b4, 0, 0
